Index,name,height,weight,college,birth_date,birth_city,birth_state
576,Dave Gunther,201,86,University of Iowa,1937,,
577,Charlie Hardnett,203,102,Grambling State University,1938,Atlanta,Georgia
578,John Havlicek*,196,92,Ohio State University,1940,Martins Ferry,Ohio
579,Wayne Hightower,203,87,University of Kansas,1940,Philadelphia,Pennsylvania
580,Paul Hogue,203,87,,1940,,
581,Kevin Loughery,190,86,St. John's University,1940,Brooklyn,New York
582,Bill McGill,206,102,University of Utah,1939,San Angelo,Texas
583,Porter Meriwether,188,81,Tennessee State University,1940,,
584,Howie Montgomery,196,99,University of Texas-Pan American,1940,,
585,Don Nelson*,198,95,University of Iowa,1940,Muskegon,Michigan
586,Mel Nowell,188,77,Ohio State University,1939,,
587,Bud Olsen,203,99,University of Louisville,1940,,
588,John Rudometkin,198,92,University of Southern California,1940,Santa Maria,California
589,Jeff Slade,198,99,Kenyon College,1941,,
590,Tom Stith,196,95,St. Bonaventure University,1939,Greenville County,Virginia
591,Dan Swartz,193,97,Morehead State University,1934,Owingsville,Kentucky
592,Dan Tieman,183,83,Thomas More College,1940,Covington,Kentucky
593,Gene Tormohlen,183,83,,1940,,
594,Chico Vaughn,188,86,Southern Illinois University,1940,Portland,Oregon
595,Chet Walker*,198,96,Bradley University,1940,Bethlehem,Mississippi
596,Ben Warley,196,90,Tennessee State University,1936,Washington,District of Columbia
597,Ralph Wells,185,81,Northwestern University,1940,,
598,Hubie White,193,92,Villanova University,1940,,
599,Gene Wiley,208,95,Wichita State University,1937,,
600,Jay Arnette,188,79,University of Texas at Austin,1938,Austin,Texas
601,Larry Comley,196,95,Kansas State University,1939,,
602,Mel Gibson,190,81,Western Carolina University,1940,Cordova,North Carolina
603,Jerry Greenspan,196,88,University of Maryland,1941,,
604,Reggie Harding,213,112,,1942,,
605,Jerry Harkness,188,79,Loyola University of Chicago,1940,New York,New York
606,Art Heyman,196,92,Duke University,1941,New York,New York
607,Gary Hill,193,83,Oklahoma City University,1941,,
608,Tom Hoover,206,104,Villanova University,1941,Washington,District of Columbia
609,Gus Johnson*,198,104,University of Idaho,1938,Akron,Ohio
610,Jim King,188,79,University of Tulsa,1941,Tulsa,Oklahoma
611,Don Kojis,196,97,Marquette University,1939,Milwaukee,Wisconsin
612,Jerry Lucas*,203,104,Ohio State University,1940,Middletown,Ohio
613,Eddie Miles,193,88,Seattle University,1940,North Little Rock,Arkansas
614,Mel Peterson,193,83,Wheaton College,1938,Thief River Falls,Minnesota
615,Ken Rohloff,183,88,North Carolina State University,1939,,
616,Larry Siegfried,190,86,Ohio State University,1939,Shelby,Ohio
617,Roger Strickland,196,90,Jacksonville University,1940,Jacksonville,Florida
618,Tom Thacker,188,77,University of Cincinnati,1939,Covington,Kentucky
619,Rod Thorn,193,88,West Virginia University,1941,Princeton,West Virginia
620,Nate Thurmond*,211,102,Bowling Green State University,1941,Akron,Ohio
621,Gerry Ward,193,88,Boston College,1941,,
622,John Windsor,203,97,Stanford University,1940,,
623,Jim Barnes,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
624,Ron Bonham,196,87,University of Cincinnati,1942,Muncie,Indiana
625,Gary Bradds,203,95,Ohio State University,1942,Jamestown,Ohio
626,Em Bryant,185,79,DePaul University,1938,Chicago,Illinois
627,Joe Caldwell,196,88,Arizona State University,1941,Texas City,Texas
628,Mel Counts,213,104,Oregon State University,1941,Coos Bay,Oregon
629,Steve Courtin,185,85,Saint Joseph's University,1942,,
630,Jerry Grote,193,97,Loyola Marymount University,1940,,
631,Happy Hairston,201,102,New York University,1942,Winston-Salem,North Carolina
632,Walt Hazzard,201,102,,1942,,
633,Les Hunter,201,95,Loyola University of Chicago,1942,Nashville,Tennessee
634,Luke Jackson,206,108,University of Texas-Pan American,1941,San Marcos,Texas
635,Larry Jones,188,81,University of Toledo,1942,Columbus,Ohio
636,Wali Jones,193,102,University of Kentucky,1926,Harlan,Kentucky
637,Howard Komives,185,83,Bowling Green State University,1941,Toledo,Ohio
638,Bud Koper,198,95,Oklahoma City University,1942,Rocky,Oklahoma
639,Barry Kramer,193,90,New York University,1942,Schenectady,New York
640,McCoy McLemore,201,104,Drake University,1942,Houston,Texas
641,Jeff Mullins,193,86,Duke University,1942,Astoria,New York
642,Cotton Nash,196,97,University of Kentucky,1942,Jersey City,New Jersey
643,Willis Reed*,206,106,Grambling State University,1942,Hico,Louisiana
644,Paul Silas,201,99,Creighton University,1943,Prescott,Arkansas
645,John Thompson*,208,102,Providence College,1941,Washington,District of Columbia
646,John Tresvant,201,97,Seattle University,1939,,
647,George Wilson,203,102,University of Cincinnati,1942,Meridian,Mississippi
648,Rick Barry*,201,92,University of Miami,1944,Elizabeth,New Jersey
649,Jesse Branson,201,88,Elon University,1942,Burlington,North Carolina
650,Bill Buntin,201,113,University of Michigan,1942,Detroit,Michigan
651,Barry Clemens,198,95,Ohio Wesleyan University,1943,Dayton,Ohio
652,Billy Cunningham*,198,95,University of North Carolina,1943,Brooklyn,New York
653,Keith Erickson,196,88,"University of California, Los Angeles",1944,San Francisco,California
654,John Fairchild,203,92,Brigham Young University,1943,Encinitas,California
655,Will Frazier,201,95,Grambling State University,1942,Minden,Louisiana
656,Gail Goodrich*,185,77,"University of California, Los Angeles",1943,Los Angeles,California
657,Fred Hetzel,203,99,Davidson College,1942,Washington,District of Columbia
658,Jon McGlocklin,196,92,Indiana University,1943,Franklin,Indiana
659,Thales McReynolds,190,83,Miles College,1943,Birmingham,Alabama
660,Ron Reed,196,92,University of Notre Dame,1942,La Porte,Indiana
661,Jerry Sloan*,196,88,University of Evansville,1942,McLeansboro,Illinois
662,Willie Somerset,173,77,Duquesne University,1942,Sharon,Pennsylvania
663,Dave Stallworth,201,90,Wichita State University,1941,Dallas,Texas
664,Joe Strawder,208,106,Bradley University,1940,Belle Glade,Florida
665,Dick Van,208,106,,1940,,
666,Tom Van,208,106,,1940,,
667,Bob Warlick,196,90,Pepperdine University,1941,Hickory,North Carolina
668,Jim Washington,198,95,Villanova University,1943,Philadelphia,Pennsylvania
669,Ron Watts,198,95,Wake Forest University,1943,,
670,Bob Weiss,188,81,Pennsylvania State University,1942,Easton,Pennsylvania
671,Henry Akin,208,102,Morehead State University,1944,Detroit,Michigan
672,Johnny Austin,183,77,Boston College,1944,Washington,District of Columbia
673,Jim Barnett,203,95,University of Texas at El Paso,1941,Tuckerman,Arkansas
674,Dave Bing*,190,81,Syracuse University,1943,Washington,District of Columbia
675,John Block,206,93,University of Southern California,1944,Los Angeles,California
676,Nate Bowman,208,104,Wichita State University,1943,Fort Worth,Texas
677,Jerry Chambers,196,83,University of Utah,1943,Washington,District of Columbia
678,Archie Clark,188,79,University of Minnesota,1941,Conway,Arkansas
679,Freddie Crawford,193,85,St. Bonaventure University,1941,New York,New York
680,Dave Deutsch,185,77,University of Rochester,1945,Brooklyn,New York
681,Joe Ellis,198,79,University of San Francisco,1944,,
682,Hank Finkel,213,108,University of Dayton,1942,Union City,New Jersey
683,Matt Guokas,190,88,Saint Joseph's University,1915,,
684,Bob Hogsett,201,104,University of Tennessee,1941,,
685,Lou Hudson,196,95,University of Minnesota,1944,Greensboro,North Carolina
686,Neil Johnson,203,95,Ohio State University,1929,Chillicothe,Ohio
687,Toby Kimball,198,99,University of Connecticut,1942,Framingham,Massachusetts
688,Tommy Kron,196,90,University of Kentucky,1943,,
689,Clyde Lee,208,92,Vanderbilt University,1944,Nashville,Tennessee
690,Bob Love,203,97,Southern University and A&M College,1942,Bastrop,Louisiana
691,Jack Marin,201,90,Duke University,1944,Sharon,Pennsylvania
692,Bill Melchionni,185,74,Villanova University,1944,Philadelphia,Pennsylvania
693,Wayne Molis,203,104,Lewis University,1943,Chicago,Illinois
694,Erwin Mueller,203,104,University of San Francisco,1944,,
695,Dorie Murrey,203,97,University of Detroit Mercy,1943,,
696,Flynn Robinson,185,83,University of Wyoming,1941,Elgin,Illinois
697,Cazzie Russell,196,98,University of Michigan,1944,Chicago,Illinois
698,Dave Schellhase,190,92,Purdue University,1944,Evansville,Indiana
699,Dick Snyder,196,93,Davidson College,1944,North Canton,Ohio
700,Jim Ware,201,95,Oklahoma City University,1944,Natchez,Mississippi
701,Walt Wesley,211,99,University of Kansas,1945,Fort Myers,Florida
702,Bud Acton,198,95,Hillsdale College,1942,,
703,Cliff Anderson,188,90,Saint Joseph's University,1944,,
704,Bill Bradley*,196,92,Princeton University,1943,Crystal City,Missouri
705,Tyrone Britt,193,86,Johnson C. Smith University,1944,,
706,Jim Burns,190,88,Northwestern University,1945,,
707,Jim Caldwell,208,108,Georgia Institute of Technology,1943,Durham,North Carolina
708,George Carter,193,95,St. Bonaventure University,1944,Buffalo,New York
709,Jim Davis,206,102,University of Colorado,1941,Muncie,Indiana
710,Bill Dinwiddie,201,99,New Mexico Highlands University,1943,,
711,Sonny Dove,201,89,St. John's University,1945,Brooklyn,New York
712,Ron Filipek,196,92,Tennessee Technological University,1944,,
713,Jim Fox,208,104,University of South Carolina,1943,Atlanta,Georgia
714,Walt Frazier*,193,90,Southern Illinois University,1945,Atlanta,Georgia
715,Mal Graham,185,83,New York University,1945,,
716,Gary Gray,185,83,Oklahoma City University,1945,,
717,Dennis Hamilton,203,95,Arizona State University,1944,Huntington Beach,California
718,Clem Haskins,190,88,Western Kentucky University,1943,Campbellsville,Kentucky
719,Al Jackson,185,83,Wilberforce University,1943,Cleveland,Ohio
720,Phil Jackson*,203,99,University of North Dakota,1945,Deer Lodge,Montana
721,Johnny Jones,201,92,"California State University, Los Angeles",1943,Washington,District of Columbia
722,Nick Jones,188,86,University of Oregon,1945,,
723,Dave Lattin,198,102,University of Texas at El Paso,1943,Houston,Texas
724,George Lehmann,183,81,Campbell University,1942,Riverside,New Jersey
725,Bobby Lewis,190,79,University of North Carolina,1945,,
726,Paul Long,188,81,Wake Forest University,1944,Louisville,Kentucky
727,Plummer Lott,196,95,Seattle University,1945,,
728,Ed Manning,201,95,Jackson State University,1944,Summit,Mississippi
729,Stan McKenzie,196,88,New York University,1944,Miami,Florida
730,Jay Miller,196,92,University of Notre Dame,1943,St. Louis,Missouri
731,Earl Monroe*,190,83,Winston-Salem State University,1944,Philadelphia,Pennsylvania
732,George Patterson,203,104,University of Toledo,1939,,
733,Jim Reid,198,95,Winston-Salem State University,1945,,
734,Pat Riley*,193,92,University of Kentucky,1945,Rome,New York
735,Bob Rule,206,99,Colorado State University,1944,Riverside,California
736,Craig Spitzer,213,102,Tulane University,1945,,
737,Al Tucker,203,86,Oklahoma Baptist University,1943,Dayton,Ohio
738,Bill Turner,201,99,University of Akron,1944,,
739,Jimmy Walker,190,88,Providence College,1944,Amherst,Virginia
740,Rick Weitzman,188,79,Northeastern University,1946,,
741,Roland West,193,80,University of Cincinnati,1944,,
742,John Wetzel,196,86,Virginia Polytechnic Institute and State University,1944,Waynesboro,Virginia
743,Ken Wilburn,198,88,Central State University,1944,River Rouge,Michigan
744,Art Williams,185,81,"California State Polytechnic University, Pomona",1939,Bonham,Texas
745,Tom Workman,201,98,Seattle University,1944,Seattle,Washington
746,Zaid Abdul-Aziz,206,106,Iowa State University,1946,Brooklyn,New York
747,Rick Adelman,185,79,Loyola Marymount University,1946,Lynwood,California
748,Bob Allen,206,92,Marshall University,1946,,
749,Harry Barnes,190,92,Northeastern University,1945,,
750,Ed Biedenbach,185,79,North Carolina State University,1945,,
751,Tom Boerwinkle,213,120,University of Tennessee,1945,Cleveland,Ohio
752,Jay Carty,203,99,Oregon State University,1941,,
753,Don Chaney,196,95,University of Houston,1946,Baton Rouge,Louisiana
754,Dick Cunningham,208,111,Murray State University,1946,Canton,Ohio
755,Fred Foster,196,95,Miami University,1946,Springfield,Ohio
756,Pat Frink,193,88,University of Colorado,1945,,
757,Gary Gregor,201,102,University of South Carolina,1945,Charlestown,West Virginia
758,Al Hairston,185,77,Bowling Green State University,1945,,
759,Shaler Halimon,196,90,Utah State University,1945,Tampa,Florida
760,Skip Harlicka,185,83,University of South Carolina,1946,,
761,Art Harris,193,83,Stanford University,1947,,
762,Elvin Hayes*,206,106,University of Houston,1945,Rayville,Louisiana
763,Bill Hewitt,201,95,University of Southern California,1944,Cambridge,Massachusetts
764,Bill Hosket,203,102,Ohio State University,1946,Dayton,Ohio
765,Rich Johnson,201,95,Grambling State University,1946,,
766,Bob Kauffman,203,108,Guilford College,1946,Brooklyn,New York
767,Joe Kennedy,198,95,Duke University,1947,,
768,Rod Knowles,206,97,Davidson College,1946,,
769,Stu Lantz,190,79,University of Nebraska,1946,Uniontown,Pennsylvania
770,Don May,193,90,University of Dayton,1946,Dayton,Ohio
771,Otto Moore,211,92,University of Texas-Pan American,1946,Miami,Florida
772,Dave Newmark,213,108,Columbia University,1946,Brooklyn,New York
773,Rich Niemann,213,111,Saint Louis University,1946,St. Louis,Missouri
774,Barry Orms,190,86,Saint Louis University,1946,St. Louis,Missouri
775,Charlie Paulk,203,99,Northeastern State University,1946,Fitzgerald,Georgia
776,Loy Petersen,196,92,Oregon State University,1945,,
777,Bob Quick,196,97,Xavier University,1946,Thornton,Mississippi
778,Craig Raymond,211,106,Brigham Young University,1945,Aberdeen,Washington
779,Mike Riordan,193,90,Providence College,1945,New York,New York
780,Dale Schlueter,208,102,Colorado State University,1945,Tacoma,Washington
781,Doug Sims,201,88,Kent State University,1943,Elba,Alabama
782,Greg Smith,196,88,Western Kentucky University,1947,Princeton,Kentucky
783,John Trapp,201,95,"University of Nevada, Las Vegas",1945,Detroit,Michigan
784,Wes Unseld*,201,111,University of Louisville,1946,Louisville,Kentucky
785,Dwight Waller,198,99,Tennessee State University,1945,Brownsville,Tennessee
786,Cliff Williams,190,81,Bowling Green State University,1945,,
787,Ron Williams,190,85,West Virginia University,1944,Weirton,West Virginia
788,Sam Williams,190,81,University of Iowa,1945,,
789,Kareem Abdul-Jabbar*,218,102,"University of California, Los Angeles",1947,New York,New York
790,Lucius Allen,188,79,"University of California, Los Angeles",1947,Kansas City,Kansas
791,Wally Anderzunas,201,99,Creighton University,1946,,
792,John Arthurs,193,83,Tulane University,1947,,
793,Johnny Baum,196,90,Temple University,1946,Philadelphia,Pennsylvania
794,Butch Beard,190,83,University of Louisville,1947,Hardinsburg,Kentucky
795,Fred Carter,190,83,Mount St. Mary's University,1945,Philadelphia,Pennsylvania
796,Bob Dandridge,198,88,Norfolk State University,1947,Richmond,Virginia
797,Mike Davis,190,83,Virginia Union University,1946,Brooklyn,New York
798,Dick Garrett,190,83,Southern Illinois University,1947,,
799,Herm Gilliam,190,86,Purdue University,1946,Winston-Salem,North Carolina
800,Bob Greacen,201,93,Rutgers University,1947,,
801,Lamar Green,201,95,Morehead State University,1947,Birmingham,Alabama
802,Connie Hawkins*,203,95,University of Iowa,1942,Brooklyn,New York
803,Brian Heaney,188,81,Acadia University,1946,,
804,Steve Kuberski,203,97,Bradley University,1947,Moline,Illinois
805,Mike Lynn,201,97,"University of California, Los Angeles",1945,Covina,California
806,Willie McCarter,190,79,Drake University,1946,Gary,Indiana
807,Steve Mix,201,97,University of Toledo,1947,Toledo,Ohio
808,Grady O'Malley,196,92,Manhattan College,1948,Boston,Massachusetts
809,Bud Ogden,198,97,Santa Clara University,1946,San Luis Obispo,California
810,Bob Portman,196,90,Creighton University,1947,San Francisco,California
811,Luther Rackley,208,99,Xavier University,1946,Bainbridge,Georgia
812,George Reynolds,193,88,University of Houston,1947,,
813,Rick Roberson,206,104,University of Cincinnati,1947,Memphis,Tennessee
814,Dave Scholz,203,99,University of Illinois at Urbana-Champaign,1948,,
815,Bingo Smith,196,86,Saint Peter's College,1939,,
816,Norm Van,196,86,,1939,,
817,Neal Walk,208,99,University of Florida,1948,Cleveland,Ohio
818,John Warren,190,81,St. John's University,1947,Sparta,Georgia
819,Jo Jo,190,81,,1947,,
820,Bernie Williams,190,79,La Salle University,1945,Washington,District of Columbia
821,Lee Winfield,188,78,University of North Texas,1947,St. Louis,Missouri
822,Don Adams,198,95,Northwestern University,1947,Atlanta,Georgia
823,Tiny Archibald*,185,68,University of Texas at El Paso,1948,New York,New York
824,Bob Arnzen,196,92,University of Notre Dame,1947,Covington,Kentucky
825,Dennis Awtrey,208,106,Santa Clara University,1948,Hollywood,California
826,Moe Barr,193,88,Duquesne University,1944,,
827,Tom Black,208,99,South Dakota State University,1941,,
828,Bob Christian,208,115,Grambling State University,1946,,
829,Jimmy Collins,188,79,New Mexico State University,1946,,
830,Joe Cooke,190,79,Indiana University,1948,,
831,Dave Cowens*,206,104,Florida State University,1948,Newport,Kentucky
832,Pete Cross,206,104,University of San Francisco,1948,,
833,Terry Driscoll,201,97,Boston College,1947,Winthrop,Massachusetts
834,Claude English,193,83,University of Rhode Island,1946,Columbus,Georgia
835,Greg Fillmore,216,108,Cheyney University of Pennsylvania,1947,Philadelphia,Pennsylvania
836,Levi Fontaine,193,86,University of Maryland Eastern Shore,1948,,
837,Jake Ford,190,81,University of Maryland Eastern Shore,1946,,
838,Gary Freeman,206,95,Oregon State University,1948,,
839,Walt Gilmore,198,102,Fort Valley State University,1947,,
840,Spencer Haywood*,203,102,University of Detroit Mercy,1949,Silver City,Mississippi
841,Gar Heard,198,99,University of Oklahoma,1948,Hogansville,Georgia
842,Al Henry,206,86,University of Wisconsin,1949,,
843,A.W. Holt,206,86,,1949,,
844,Greg Howard,206,97,University of New Mexico,1948,Pittsburgh,Pennsylvania
845,John Hummer,206,104,Princeton University,1948,Washington,District of Columbia
846,Greg Hyder,198,97,Eastern New Mexico University,1948,,
847,George Johnson,211,111,Stephen F. Austin State University,1947,Herleton,Texas
848,John Johnson,201,90,University of Iowa,1947,Carthage,Mississippi
849,Earnie Killum,190,81,Stetson University,1948,,
850,Ron Knight,201,97,"California State University, Los Angeles",1947,,
851,Sam Lacey,208,106,New Mexico State University,1948,Indianaola,Mississippi
852,Bob Lanier*,211,113,St. Bonaventure University,1948,Buffalo,New York
853,Pete Maravich*,196,89,Louisiana State University,1947,Aliquippa,Pennsylvania
854,Harvey Marlatt,190,83,Eastern Michigan University,1948,,
855,Eddie Mast,206,99,Temple University,1948,Philadelphia,Pennsylvania
856,Jim McMillian,196,97,Columbia University,1948,Raeford,North Carolina
857,Larry Mikan,201,95,University of Minnesota,1948,,
858,Rex Morgan,196,86,Jacksonville University,1948,Charleston,Illinois
859,Calvin Murphy*,175,74,Niagara University,1948,Norwalk,Connecticut
860,Ralph Ogden,196,92,Santa Clara University,1948,,
861,Curtis Perry,201,99,Missouri State University,1948,Washington,District of Columbia
862,Geoff Petrie,193,86,Princeton University,1948,Darby,Pennsylvania
863,Mike Price,190,90,University of Illinois at Urbana-Champaign,1948,Russellville,Kentucky
864,Bob Riley,206,106,Mount St. Mary's University,1948,,
865,Paul Ruffner,208,102,Brigham Young University,1948,Downey,California
866,Mike Silliman,198,102,United States Military Academy,1944,Louisville,Kentucky
867,Garfield Smith,206,106,Eastern Kentucky University,1945,Campbellsville,Kentucky
868,Dave Sorenson,203,102,Ohio State University,1948,,
869,Dennis Stewart,198,99,University of Michigan,1947,,
870,Bill Stricker,206,95,University of the Pacific,1948,,
871,Gary Suiter,206,102,Midwestern State University,1945,,
872,Fred Taylor,196,81,University of Texas-Pan American,1948,Houston,Texas
873,Joe Thomas,198,92,Marquette University,1948,Canton,Georgia
874,Rudy Tomjanovich,203,98,University of Michigan,1948,Hamtramck,Michigan
875,John Vallely,190,83,"University of California, Los Angeles",1948,,
876,Cornell Warner,206,99,Jackson State University,1948,Jackson,Mississippi
877,Bobby Washington,180,79,Eastern Kentucky University,1947,,
878,Jeff Webb,193,77,Kansas State University,1948,,
879,Herb White,188,88,University of Georgia,1948,,
880,Milt Williams,188,82,Lincoln University of Missouri,1945,Seattle,Washington
881,Willie Williams,201,90,Florida State University,1946,,
882,Marv Winkler,185,74,University of Louisiana at Lafayette,1948,,
883,Gary Zeller,190,92,Drake University,1947,,
884,Bill Zopf,185,77,Duquesne University,1948,,
885,Odis Allison,198,88,"University of Nevada, Las Vegas",1949,,
886,Vic Bartolome,213,104,Oregon State University,1948,,
887,Fred Brown,190,82,University of Iowa,1948,Milwaukee,Wisconsin
888,Austin Carr,193,90,University of Notre Dame,1948,Washington,District of Columbia
889,Sid Catlett,198,104,University of Notre Dame,1948,,
890,Phil Chenier,190,81,University of California,1950,Berkeley,California
891,Jim Cleamons,190,83,Ohio State University,1949,Lincolnton,North Carolina
892,Charlie Davis,188,72,Wake Forest University,1949,New York,New York
893,Jackie Dinkins,196,95,Voorhees College,1950,,
894,Ken Durrett,201,86,La Salle University,1948,Pittsburgh,Pennsylvania
895,Dick Gibbs,196,95,University of Texas at El Paso,1948,Ames,Iowa
896,Clarence Glover,203,95,Western Kentucky University,1947,Horse Cave,Kentucky
897,Jeff Halliburton,196,87,Drake University,1949,,
898,Fred Hilton,190,83,Grambling State University,1948,,
899,Jake Jones,190,81,Assumption College,1949,,
900,Mo Layton,185,81,University of Southern California,1948,Newark,New Jersey
901,Stan Love,206,97,University of Oregon,1949,Los Angeles,California
902,Charlie Lowery,190,83,University of Puget Sound,1949,,
903,Jim Marsh,201,97,University of Southern California,1946,,
904,Jim McDaniels,211,103,Western Kentucky University,1948,Scottsville,Kentucky
905,Gil McGregor,203,108,Wake Forest University,1949,,
906,Kenny McIntosh,201,102,Eastern Michigan University,1949,Detroit,Michigan
907,Cliff Meely,203,97,University of Colorado,1947,Rosedale,Mississippi
908,Dean Meminger,183,79,Marquette University,1948,Walterboro,South Carolina
909,John Mengelt,188,88,Auburn University,1949,Lacrosse,Wisconsin
910,Barry Nelson,208,104,Duquesne University,1949,,
911,Mike Newlin,193,90,University of Utah,1949,Portland,Oregon
912,Willie Norwood,201,99,Alcorn State University,1947,Carrolton,Mississippi
913,Steve Patterson,206,102,"University of California, Los Angeles",1948,Riverside,California
914,Tom Payne,218,108,University of Kentucky,1950,,
915,Howard Porter,203,99,Villanova University,1948,Stuart,Florida
916,Clifford Ray,206,104,University of Oklahoma,1949,Union,South Carolina
917,Jackie Ridgle,193,88,University of California,1948,Altheimer,Arkansas
918,Rich Rinaldi,190,88,Saint Peter's College,1949,,
919,Curtis Rowe,201,102,"University of California, Los Angeles",1949,Bessemer,Alabama
920,Charlie Scott,196,79,University of North Carolina,1948,New York,New York
921,Elmore Smith,213,113,Kentucky State University,1949,Macon,Georgia
922,Randy Smith,190,81,State University of New York College at Buffalo,1948,Bellport,New York
923,William Smith,213,99,Syracuse University,1949,,
924,Larry Steele,196,81,University of Kentucky,1949,Greencastle,Indiana
925,George Trapp,203,92,"California State University, Long Beach",1948,Detroit,Michigan
926,Sidney Wicks,203,102,"University of California, Los Angeles",1949,Los Angeles,California
927,Nate Williams,196,97,Utah State University,1950,Columbia,Louisiana
928,Isaiah Wilson,188,79,University of Baltimore,1948,Philadelphia,Pennsylvania
929,Dave Wohl,188,83,University of Pennsylvania,1949,Flushing,New York
930,Barry Yates,201,97,University of Maryland,1946,,
931,Charlie Yelverton,188,86,Fordham University,1948,,
932,Henry Bibby,185,83,"University of California, Los Angeles",1949,Franklinton,North Carolina
933,Freddie Boyd,188,81,Oregon State University,1950,Bakersfield,California
934,Steve Bracey,185,79,University of Tulsa,1950,Brooklyn,New York
935,John Brisker,196,95,University of Toledo,1947,Detroit,Michigan
936,Roger Brown,196,92,University of Dayton,1942,Brooklyn,New York
937,Corky Calhoun,201,95,University of Pennsylvania,1950,Waukegan,Illinois
938,Bob Davis,201,97,Weber State University,1950,,
939,Dwight Davis,203,99,University of Houston,1949,Houston,Texas
940,Mickey Davis,190,83,Virginia Union University,1946,Brooklyn,New York
941,Charles Dudley,188,81,University of Washington,1950,Harrisburg,Pennsylvania
942,Scott English,198,92,University of Texas at El Paso,1950,Evanston,Illinois
943,Chris Ford,196,86,Villanova University,1949,Atlantic City,New Jersey
944,Harold Fox,188,79,Jacksonville University,1949,,
945,Rowland Garrett,198,95,Florida State University,1950,Canton,Mississippi
946,John Gianelli,208,99,University of the Pacific,1950,Stockton,California
947,Travis Grant,201,97,Kentucky State University,1950,Clayton,Alabama
948,Luther Green,201,86,Long Island University,1946,New York,New York
949,Charles Johnson,183,77,University of California,1949,Corpus Christi,Texas
950,Ollie Johnson,198,90,Temple University,1949,Philadelphia,Pennsylvania
951,Manny Leaks,203,102,Niagara University,1945,Cleveland,Ohio
952,Russ Lee,196,83,Marshall University,1950,Boston,Massachusetts
953,LaRue Martin,211,94,Loyola University of Chicago,1950,Chicago,Illinois
954,Bob McAdoo*,206,95,University of North Carolina,1951,Greensboro,North Carolina
955,Paul McCracken,193,81,"California State University, Northridge",1950,New York,New York
956,Eric McWilliams,203,90,"California State University, Long Beach",1950,Denver,Colorado
957,Mark Minor,198,97,Ohio State University,1950,,
958,Bob Nash,203,88,University of Hawaii,1950,Hartford,Connecticut
959,Lloyd Neal,201,102,Tennessee State University,1950,Talbottom,Georgia
960,Tom Patterson,198,99,Ouachita Baptist University,1948,,
961,Kevin Porter,183,77,Saint Francis University,1950,Chicago,Illinois
962,Jim Price,190,88,University of Louisville,1949,Russellville,Kentucky
963,Mike Ratliff,208,104,University of Wisconsin-Eau Claire,1951,New Albany,Mississippi
964,Tom Riker,208,102,University of South Carolina,1950,Rockville Centre,New York
965,Ron Riley,203,88,University of Southern California,1950,Los Angeles,California
966,Frank Russell,190,81,University of Detroit Mercy,1949,,
967,Frank Schade,185,77,University of Wisconsin-Eau Claire,1950,Wausau,Wisconsin
968,Sam Sibert,201,97,Kentucky State University,1949,,
969,Bud Stallworth,196,86,University of Kansas,1950,Hartselle,Alabama
970,Paul Stovall,193,97,Arizona State University,1948,,
971,Chuck Terry,198,97,"California State University, Long Beach",1950,Long Beach,California
972,Justus Thigpen,185,72,Weber State University,1947,,
973,John Tschogl,198,93,"University of California, Santa Barbara",1950,Chula Vista,California
974,Paul Westphal,193,88,University of Southern California,1950,Torrance,California
975,Harthorne Wingo,198,95,Friendship Junior College,1947,Tryon,North Carolina
976,Joby Wright,203,99,Indiana University,1950,,
977,Mike Bantom,206,90,Saint Joseph's University,1951,Philadelphia,Pennsylvania
978,Ron Behagen,206,83,University of Minnesota,1951,New York,New York
979,Dennis Bell,196,83,Drake University,1951,Cincinnati,Ohio
980,Jim Brewer,206,95,University of Minnesota,1951,Maywood,Illinois
981,Allan Bristow,201,95,Virginia Polytechnic Institute and State University,1951,Richmond,Virginia
982,John Brown,201,99,University of Missouri,1951,Frankfurt,Germany
983,Larry Cannon,193,88,La Salle University,1947,Philadelphia,Pennsylvania
984,Bill Chamberlain,198,85,University of North Carolina,1949,,
985,Ken Charles,190,81,Fordham University,1951,Trinidad and Tobago,
986,E.C. Coleman,190,81,,1951,,
987,Doug Collins,198,81,Illinois State University,1951,Christopher,Illinois
988,Mike D'Antoni,190,83,Marshall University,1951,Mullens,West Virginia
989,Mel Davis,198,99,St. John's University,1950,New York,New York
990,Derrek Dickey,201,98,University of Cincinnati,1951,Cincinnati,Ohio
991,Ernie DiGregorio,183,81,Providence College,1951,North Providence,Rhode Island
992,Steve Downing,203,102,Indiana University,1950,Indianapolis,Indiana
993,Rod Freeman,201,102,Vanderbilt University,1950,,
994,Bernie Fryer,190,83,Brigham Young University,1949,Bellingham,Washington
995,Jim Garvin,201,90,Boston University,1950,,
996,Phil Hankinson,203,88,University of Pennsylvania,1951,Augusta,Georgia
997,Nate Hawthorne,193,86,Southern Illinois University,1950,Mt. Vernon,Illinois
998,Tom Ingelsby,190,81,Villanova University,1951,Philadelphia,Pennsylvania
999,Dwight Jones,208,95,University of Houston,1952,Houston,Texas
1000,Ben Kelso,190,88,Central Michigan University,1949,,
1001,Tom Kozelko,203,99,University of Toledo,1951,Traverse City,Michigan
1002,Kevin Kunnert,213,104,University of Iowa,1951,Dubuque,Iowa
